CacheSize,BlockSize,Associativity,WritePolicy,WriteMissPolicy,EvictPolicy,TotalReads,ReadMisses,TotalWrites,WriteMisses,TotalLatency
1024,16,1,--WriteBack,--WriteAllocate,--LRU,112576,12871,65042,5563,6444694
1024,16,1,--WriteBack,--NoWriteAllocate,--LRU,112576,15092,65042,10584,7264634
1024,16,1,--WriteThrough,--WriteAllocate,--LRU,112576,12871,65042,5563,18897574
1024,16,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,15092,65042,10584,18162334
1024,16,2,--WriteBack,--WriteAllocate,--LRU,112576,7779,65042,3935,4347214
1024,16,2,--WriteBack,--NoWriteAllocate,--LRU,112576,8992,65042,8226,5055614
1024,16,2,--WriteThrough,--WriteAllocate,--LRU,112576,7779,65042,3935,17419174
1024,16,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,8992,65042,8226,16820334
1024,16,4,--WriteBack,--WriteAllocate,--LRU,112576,5740,65042,3459,3553674
1024,16,4,--WriteBack,--NoWriteAllocate,--LRU,112576,7374,65042,7877,4485814
1024,16,4,--WriteThrough,--WriteAllocate,--LRU,112576,5740,65042,3459,16865874
1024,16,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,7374,65042,7877,16464374
1024,16,8,--WriteBack,--WriteAllocate,--LRU,112576,5346,65042,3430,3421234
1024,16,8,--WriteBack,--NoWriteAllocate,--LRU,112576,7124,65042,7786,4397814
1024,16,8,--WriteThrough,--WriteAllocate,--LRU,112576,5346,65042,3430,16772814
1024,16,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,7124,65042,7786,16409374
1024,16,16,--WriteBack,--WriteAllocate,--LRU,112576,5269,65042,3420,3391314
1024,16,16,--WriteBack,--NoWriteAllocate,--LRU,112576,7034,65042,7770,4359094
1024,16,16,--WriteThrough,--WriteAllocate,--LRU,112576,5269,65042,3420,16753674
1024,16,16,--WriteThrough,--NoWriteAllocate,--LRU,112576,7034,65042,7770,16389574
1024,16,32,--WriteBack,--WriteAllocate,--LRU,112576,5282,65042,3439,3399894
1024,16,32,--WriteBack,--NoWriteAllocate,--LRU,112576,7047,65042,7827,4372954
1024,16,32,--WriteThrough,--WriteAllocate,--LRU,112576,5282,65042,3439,16760714
1024,16,32,--WriteThrough,--NoWriteAllocate,--LRU,112576,7047,65042,7827,16392434
1024,32,1,--WriteBack,--WriteAllocate,--LRU,112576,13032,65042,4050,5865434
1024,32,1,--WriteBack,--NoWriteAllocate,--LRU,112576,14671,65042,10893,7176854
1024,32,1,--WriteThrough,--WriteAllocate,--LRU,112576,13032,65042,4050,18600134
1024,32,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,14671,65042,10893,18069714
1024,32,2,--WriteBack,--WriteAllocate,--LRU,112576,8971,65042,2673,4067594
1024,32,2,--WriteBack,--NoWriteAllocate,--LRU,112576,10000,65042,7754,5073434
1024,32,2,--WriteThrough,--WriteAllocate,--LRU,112576,8971,65042,2673,17403774
1024,32,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,10000,65042,7754,17042094
1024,32,4,--WriteBack,--WriteAllocate,--LRU,112576,5576,65042,2329,3070114
